metric,genotype,value,Animal
DYRK1A_act_6mo,WTEE,0.656895749,13
DYRK1A_act_6mo,WTEE,0.439152525,14
DYRK1A_act_6mo,WTEE,2.012516768,15
DYRK1A_act_6mo,WTEE,0.574424141,16
DYRK1A_act_6mo,WTEE,0.944802245,17
DYRK1A_act_6mo,WTEE,1.574803959,18
DYRK1A_act_6mo,TGEE,1.716861911,19
DYRK1A_act_6mo,TGEE,0.746397381,20
DYRK1A_act_6mo,TGEE,2.126469774,21
DYRK1A_act_6mo,TGEE,2.183700255,22
DYRK1A_act_6mo,TGEE,1.432021278,23
DYRK1A_act_6mo,TGEE,1.929432077,24
DYRK1A_act_6mo,TGEE,2.004848668,19
DYRK1A_act_6mo,TGEE,0.909800038,20
DYRK1A_act_6mo,TGEE,0.939015451,21
DYRK1A_act_6mo,TGEE,1.531185226,22
DYRK1A_act_6mo,TGEE,2.049762969,24
spine_A_6mo,WTNE,4,1
spine_A_6mo,WTNE,10,1
spine_A_6mo,WTNE,5,1
spine_A_6mo,WTNE,8,1
spine_A_6mo,WTNE,7,1
spine_A_6mo,WTNE,1,2
spine_A_6mo,WTNE,8,2
spine_A_6mo,WTNE,5,2
spine_A_6mo,WTNE,4,2
spine_A_6mo,WTNE,3,2
spine_A_6mo,WTNE,11,6
spine_A_6mo,WTNE,7,6
spine_A_6mo,WTNE,8,6
spine_A_6mo,WTNE,7,6
spine_A_6mo,WTNE,8,6
spine_A_6mo,WTNE,8,7
spine_A_6mo,WTNE,5,7
spine_A_6mo,WTNE,11,7
spine_A_6mo,WTNE,6,7
spine_A_6mo,WTNE,7,7
spine_A_6mo,TGNE,11,4
spine_A_6mo,TGNE,12,4
spine_A_6mo,TGNE,20,4
spine_A_6mo,TGNE,8,4
spine_A_6mo,TGNE,5,5
spine_A_6mo,TGNE,16,5
spine_A_6mo,TGNE,3,5
spine_A_6mo,TGNE,7,5
spine_A_6mo,TGNE,5,8
spine_A_6mo,TGNE,9,8
spine_A_6mo,TGNE,9,8
spine_A_6mo,TGNE,18,8
spine_A_6mo,TGNE,5,9
spine_A_6mo,TGNE,15,9
spine_A_6mo,TGNE,6,9
spine_A_6mo,TGNE,15,9
spine_A_6mo,TGNE,10,10
spine_A_6mo,TGNE,11,10
spine_A_6mo,TGNE,7,10
spine_A_6mo,TGNE,13,10
spine_A_6mo,WTEE,10,13
spine_A_6mo,WTEE,9,13
spine_A_6mo,WTEE,6,13
spine_A_6mo,WTEE,5,13
spine_A_6mo,WTEE,6,13
spine_A_6mo,WTEE,6,13
spine_A_6mo,WTEE,11,13
spine_A_6mo,WTEE,5,17
spine_A_6mo,WTEE,11,17
spine_A_6mo,WTEE,2,17
spine_A_6mo,WTEE,3,17
spine_A_6mo,WTEE,5,17
spine_A_6mo,WTEE,11,17
spine_A_6mo,WTEE,9,17
spine_A_6mo,WTEE,8,17
spine_A_6mo,WTEE,5,18
spine_A_6mo,WTEE,11,18
spine_A_6mo,WTEE,7,18
spine_A_6mo,WTEE,14,18
spine_A_6mo,WTEE,5,18
spine_A_6mo,WTEE,4,18
spine_A_6mo,WTEE,9,18
spine_A_6mo,WTEE,7,18
spine_A_6mo,WTEE,6,13
spine_A_6mo,TGEE,9,11
spine_A_6mo,TGEE,5,11
spine_A_6mo,TGEE,8,11
spine_A_6mo,TGEE,9,11
spine_A_6mo,TGEE,9,12
spine_A_6mo,TGEE,7,12
spine_A_6mo,TGEE,5,12
spine_A_6mo,TGEE,0,12
spine_A_6mo,TGEE,9,15
spine_A_6mo,TGEE,0,15
spine_A_6mo,TGEE,5,15
spine_A_6mo,TGEE,7,16
spine_A_6mo,TGEE,6,16
spine_A_6mo,TGEE,9,16
spine_A_6mo,TGEE,9,20
spine_A_6mo,TGEE,12,20
spine_A_6mo,TGEE,5,20
spine_A_6mo,TGEE,16,22
spine_A_6mo,TGEE,17,22
spine_A_6mo,TGEE,5,22
spine_B_6mo,WTNE,13,1
spine_B_6mo,WTNE,10,1
spine_B_6mo,WTNE,11,1
spine_B_6mo,WTNE,14,1
spine_B_6mo,WTNE,13,1
spine_B_6mo,WTNE,12,2
spine_B_6mo,WTNE,10,2
spine_B_6mo,WTNE,12,2
spine_B_6mo,WTNE,14,2
spine_B_6mo,WTNE,16,2
spine_B_6mo,WTNE,21,6
spine_B_6mo,WTNE,26,6
spine_B_6mo,WTNE,25,6
spine_B_6mo,WTNE,30,6
spine_B_6mo,WTNE,19,6
spine_B_6mo,WTNE,15,7
spine_B_6mo,WTNE,14,7
spine_B_6mo,WTNE,12,7
spine_B_6mo,WTNE,6,7
spine_B_6mo,WTNE,19,7
spine_B_6mo,TGNE,5,4
spine_B_6mo,TGNE,7,4
spine_B_6mo,TGNE,26,4
spine_B_6mo,TGNE,10,4
spine_B_6mo,TGNE,25,5
spine_B_6mo,TGNE,30,5
spine_B_6mo,TGNE,18,5
spine_B_6mo,TGNE,11,5
spine_B_6mo,TGNE,29,8
spine_B_6mo,TGNE,4,8
spine_B_6mo,TGNE,10,8
spine_B_6mo,TGNE,17,8
spine_B_6mo,TGNE,11,9
spine_B_6mo,TGNE,21,9
spine_B_6mo,TGNE,12,9
spine_B_6mo,TGNE,11,9
spine_B_6mo,TGNE,10,10
spine_B_6mo,TGNE,7,10
spine_B_6mo,TGNE,9,10
spine_B_6mo,TGNE,17,10
spine_B_6mo,WTEE,9,13
spine_B_6mo,WTEE,9,13
spine_B_6mo,WTEE,2,13
spine_B_6mo,WTEE,9,13
spine_B_6mo,WTEE,12,13
spine_B_6mo,WTEE,7,13
spine_B_6mo,WTEE,9,13
spine_B_6mo,WTEE,11,17
spine_B_6mo,WTEE,14,17
spine_B_6mo,WTEE,10,17
spine_B_6mo,WTEE,8,17
spine_B_6mo,WTEE,12,17
spine_B_6mo,WTEE,16,17
spine_B_6mo,WTEE,12,17
spine_B_6mo,WTEE,21,17
spine_B_6mo,WTEE,20,18
spine_B_6mo,WTEE,19,18
spine_B_6mo,WTEE,17,18
spine_B_6mo,WTEE,30,18
spine_B_6mo,WTEE,16,18
spine_B_6mo,WTEE,17,18
spine_B_6mo,WTEE,28,18
spine_B_6mo,WTEE,12,18
spine_B_6mo,WTEE,2,13
spine_B_6mo,TGEE,11,11
spine_B_6mo,TGEE,10,11
spine_B_6mo,TGEE,17,11
spine_B_6mo,TGEE,20,11
spine_B_6mo,TGEE,10,12
spine_B_6mo,TGEE,10,12
spine_B_6mo,TGEE,14,12
spine_B_6mo,TGEE,13,12
spine_B_6mo,TGEE,9,15
spine_B_6mo,TGEE,2,15
spine_B_6mo,TGEE,5,15
spine_B_6mo,TGEE,11,16
spine_B_6mo,TGEE,5,16
spine_B_6mo,TGEE,13,16
spine_B_6mo,TGEE,24,20
spine_B_6mo,TGEE,16,20
spine_B_6mo,TGEE,20,20
spine_B_6mo,TGEE,14,22
spine_B_6mo,TGEE,10,22
spine_B_6mo,TGEE,11,22
spine_C_6mo,WTNE,6,1
spine_C_6mo,WTNE,7,1
spine_C_6mo,WTNE,9,1
spine_C_6mo,WTNE,17,1
spine_C_6mo,WTNE,6,1
spine_C_6mo,WTNE,4,2
spine_C_6mo,WTNE,6,2
spine_C_6mo,WTNE,4,2
spine_C_6mo,WTNE,6,2
spine_C_6mo,WTNE,12,2
spine_C_6mo,WTNE,9,6
spine_C_6mo,WTNE,6,6
spine_C_6mo,WTNE,12,6
spine_C_6mo,WTNE,15,6
spine_C_6mo,WTNE,9,6
spine_C_6mo,WTNE,8,7
spine_C_6mo,WTNE,12,7
spine_C_6mo,WTNE,10,7
spine_C_6mo,WTNE,4,7
spine_C_6mo,WTNE,6,7
spine_C_6mo,TGNE,9,4
spine_C_6mo,TGNE,1,4
spine_C_6mo,TGNE,11,4
spine_C_6mo,TGNE,9,4
spine_C_6mo,TGNE,6,5
spine_C_6mo,TGNE,7,5
spine_C_6mo,TGNE,8,5
spine_C_6mo,TGNE,5,5
spine_C_6mo,TGNE,7,8
spine_C_6mo,TGNE,1,8
spine_C_6mo,TGNE,4,8
spine_C_6mo,TGNE,7,8
spine_C_6mo,TGNE,5,9
spine_C_6mo,TGNE,6,9
spine_C_6mo,TGNE,8,9
spine_C_6mo,TGNE,6,9
spine_C_6mo,TGNE,3,10
spine_C_6mo,TGNE,9,10
spine_C_6mo,TGNE,6,10
spine_C_6mo,TGNE,7,10
spine_C_6mo,WTEE,4,13
spine_C_6mo,WTEE,8,13
spine_C_6mo,WTEE,7,13
spine_C_6mo,WTEE,4,13
spine_C_6mo,WTEE,0,13
spine_C_6mo,WTEE,1,13
spine_C_6mo,WTEE,9,13
spine_C_6mo,WTEE,8,17
spine_C_6mo,WTEE,8,17
spine_C_6mo,WTEE,6,17
spine_C_6mo,WTEE,10,17
spine_C_6mo,WTEE,3,17
spine_C_6mo,WTEE,2,17
spine_C_6mo,WTEE,11,17
spine_C_6mo,WTEE,8,17
spine_C_6mo,WTEE,9,18
spine_C_6mo,WTEE,7,18
spine_C_6mo,WTEE,10,18
spine_C_6mo,WTEE,14,18
spine_C_6mo,WTEE,7,18
spine_C_6mo,WTEE,8,18
spine_C_6mo,WTEE,11,18
spine_C_6mo,WTEE,6,18
spine_C_6mo,WTEE,7,13
spine_C_6mo,TGEE,9,11
spine_C_6mo,TGEE,8,11
spine_C_6mo,TGEE,5,11
spine_C_6mo,TGEE,2,11
spine_C_6mo,TGEE,6,12
spine_C_6mo,TGEE,4,12
spine_C_6mo,TGEE,14,12
spine_C_6mo,TGEE,6,12
spine_C_6mo,TGEE,8,15
spine_C_6mo,TGEE,2,15
spine_C_6mo,TGEE,0,15
spine_C_6mo,TGEE,3,16
spine_C_6mo,TGEE,5,16
spine_C_6mo,TGEE,5,16
spine_C_6mo,TGEE,3,20
spine_C_6mo,TGEE,5,20
spine_C_6mo,TGEE,11,20
spine_C_6mo,TGEE,2,22
spine_C_6mo,TGEE,2,22
spine_C_6mo,TGEE,2,22
spine_tot_6mo,WTNE,23,1
spine_tot_6mo,WTNE,27,1
spine_tot_6mo,WTNE,25,1
spine_tot_6mo,WTNE,39,1
spine_tot_6mo,WTNE,26,1
spine_tot_6mo,WTNE,17,2
spine_tot_6mo,WTNE,24,2
spine_tot_6mo,WTNE,21,2
spine_tot_6mo,WTNE,24,2
spine_tot_6mo,WTNE,31,2
spine_tot_6mo,WTNE,41,6
spine_tot_6mo,WTNE,39,6
spine_tot_6mo,WTNE,45,6
spine_tot_6mo,WTNE,52,6
spine_tot_6mo,WTNE,36,6
