neuronid,time,slope,genotype
11,41,149.4465084,WTNE
11,42,144.5474897,WTNE
11,43,166.7438,WTNE
11,44,154.4663491,WTNE
11,45,150.2327557,WTNE
11,46,152.8938543,WTNE
11,47,148.8416447,WTNE
11,48,176.8438925,WTNE
11,49,170.5540641,WTNE
11,50,154.7687056,WTNE
11,51,134.2658628,WTNE
11,52,148.2973428,WTNE
11,53,137.6527977,WTNE
11,54,162.0867267,WTNE
11,55,180.1704164,WTNE
11,56,147.0272046,WTNE
11,57,125.7986761,WTNE
11,58,132.8143408,WTNE
11,59,149.264974,WTNE
11,60,129.5485292,WTNE
12,-20,NA,WTNE
12,-19,NA,WTNE
12,-18,NA,WTNE
12,-17,NA,WTNE
12,-16,NA,WTNE
12,-15,106.239567,WTNE
12,-14,89.14033431,WTNE
12,-13,112.1883973,WTNE
12,-12,93.59415783,WTNE
12,-11,109.9771657,WTNE
12,-10,90.85339361,WTNE
12,-9,99.8546317,WTNE
12,-8,95.36961116,WTNE
12,-7,104.5887384,WTNE
12,-6,102.5019682,WTNE
12,-5,95.12036169,WTNE
12,-4,104.6511324,WTNE
12,-3,101.7545464,WTNE
12,-2,101.1003891,WTNE
12,-1,93.06478853,WTNE
12,0,140.8070064,WTNE
12,1,178.2153346,WTNE
12,2,196.74767,WTNE
12,3,198.1232789,WTNE
12,4,178.4446571,WTNE
12,5,173.0568831,WTNE
12,6,189.8315688,WTNE
12,7,179.552723,WTNE
12,8,176.6870073,WTNE
12,9,165.8350184,WTNE
12,10,161.8230165,WTNE
12,11,166.0261206,WTNE
12,12,166.1025614,WTNE
12,13,166.6374841,WTNE
12,14,173.5155283,WTNE
12,15,150.6654275,WTNE
12,16,168.4715748,WTNE
12,17,172.1399194,WTNE
12,18,178.2153346,WTNE
12,19,174.5471532,WTNE
12,20,159.1482397,WTNE
12,21,183.2210676,WTNE
12,22,154.1425067,WTNE
12,23,162.4726005,WTNE
12,24,161.7465757,WTNE
12,25,149.0222757,WTNE
12,26,140.3865817,WTNE
12,27,125.0258886,WTNE
12,28,145.0483309,WTNE
