name,genotype,animal,slice,neuron_number,Bregma,str_rad,str_lac,ml_pos,position,tot_len,max_plen,bpoints,mpeucl,maxbo,mangleB,mblen,mplen,mbo,wh,wz,chullx,chully,chullz,hull,masym,mparea,dend_vol,span_vol,DV_span,str_lac_overlap,overall_x_span,lin_d,lin_s,nonlin_m,nonlin_meand,nonlin_meank,nl_stc,mature_lin_d,mature_lin_s,mature_nonlin_meand,mature_nonlin_meank,mature_nl_stc,AUC,con_rep,con_rep_onlymorph,Succ_spikes_rad_40Hz,Succ_spikes_both_40Hz,Succ_spikes_rad_100Hz,Succ_spikes_both_100Hz
7_low_5_santi_v1,Wild-Type_EE,7,14,5,0,135.3207966,106.8573356,2,post_cent,725.3609849,196.0299552,10,0.891087221,6,1.089339522,23.39874145,94.06553199,3.333333333,0.730050661,7.090217091,-2.96E-15,82.62129917,1.2E-13,74311.14801,0.374848485,0.383291846,6647.80721,43340.87779,151.9750508,,,,,,,,,,,,,,590,4284.90507657831,3844.568834,100,100,43.333,43.333
8_low_1_santi_v1,Wild-Type_EE,8,15,1,0,114.8662192,110.1111243,1,post_med,3047.218061,330.564761,47,0.876185587,20,1.294804619,30.47217861,125.150969,8.189473684,0.832416471,4.636596248,4.89E-15,91.8364715,4.1E-14,1486599.886,0.292292022,0.389817906,25033.35735,345645.0595,301.5418385,,,,,,,,,,,,,,2280,17327.5934010373,15477.75509,75,100,36.667,50
8_low_2_santi_v1,Wild-Type_EE,8,15,2,0,136.187451,117.7269456,1,post_med,2189.454861,342.4399921,27,0.919352814,15,1.237181425,41.3104653,164.0341682,7.309090909,0.555921037,4.001081146,-3.12E-14,147.276739,-8.48E-14,955140.4855,0.307311596,0.405959563,16850.1607,285846.5611,313.7374395,,,,,,,,,,,,,,1780,13082.4325075578,11753.30625,100,100,43.333,63.333
8_low_4_santi_v1,Wild-Type_EE,8,15,4,0,162.921438,129.5053923,2,post_cent,3111.167445,512.7921809,41,0.898078798,31,1.024940625,34.95693422,239.0835017,16.55421687,0.698548489,5.775093751,-1.98E-13,212.6353601,-4.63E-13,1584323.318,0.192300665,0.368055116,22269.91775,462099.1131,406.9671306,,,,,,,,,,,,,,2410,19165.2079400766,17276.54882,58.3325,100,30,76.667
8_mid_14_santi_v1,Wild-Type_EE,8,16,14,0,124.437765,73.4125292,3,post_lat,2511.335106,356.1172215,37,0.879680525,14,1.426352314,29.89684531,145.0543246,6.986666667,0.538437,2.703855268,4.01E-14,125.4187485,1.59E-13,1196292.731,0.322367305,0.344508291,18662.81789,484203.1701,320.3597441,,,,,,,,,,,,,,1850,14511.2969457788,12986.77083,100,100,50,66.667
8_mid_5_santi_v0,Wild-Type_EE,8,16,5,0,165.6057658,108.751704,2,post_cent,3470.598479,362.5534164,51,0.893304731,15,1.163101002,29.66323486,145.828861,8.601941748,0.728030135,3.476323769,3.03E-14,121.5170395,2.11E-13,1713577.33,0.306403821,0.370874089,28322.65764,589272.3354,316.0317062,,,,,,,,,,,,,,2730,19826.8483782418,17719.99355,100,100,43.333,56.667
8_mid_7_santi_v0,Wild-Type_EE,8,16,7,0,149.7279671,114.432892,2,post_cent,2012.884806,309.3598109,26,0.929945186,10,1.448441802,32.9981083,170.7317553,5.132075472,0.581204381,3.271026078,-1.6E-14,155.7818443,1.3E-13,727780.4936,0.352881623,0.386684314,15801.72539,517656.0331,273.9216201,,,,,,,,,,,,,,1630,11873.0466778855,10651.10878,83.3325,100,43.333,73.333
8_mid_9_santi_v1,Wild-Type_EE,8,16,9,0,152.8130267,97.01160487,2,post_cent,3344.821213,380.1300682,38,0.907589937,18,1.442549782,40.79050137,171.3127285,9.454545455,0.628202325,3.147454926,-1.2E-14,149.6780066,-1.12E-11,1830284.058,0.270040167,0.389324313,25835.06483,853465.8855,334.7480257,,,,,,,,,,,,,,2690,19341.6460954681,17311.14536,100,100,46.667,70
10_up_2_santi_v1,TgDyrk1A_EE,10,17,2,360,160.4307653,82.33600159,1,mid_med,1878.506279,453.7902128,21,0.888221604,13,1.335390159,38.33686284,203.710301,6.651162791,0.772091188,5.914915227,2.36E-14,170.9004164,-3.94E-13,955588.8421,0.277467704,0.41656921,15014.39074,184229.5113,314.4095692,,,,,,,,,,,,,,1290,9260.69665603269,10575.97614,16.66675,100,16.667,66.667
10_up_4_santi_v0,TgDyrk1A_EE,10,17,4,360,173.3826467,95.36841281,1,mid_med,1044.966409,246.3001342,17,0.924410975,12,1.351137809,29.02684469,132.1676535,5.942857143,0.624138026,11.41396409,2.52E-14,121.2302251,5.71E-13,128351.8522,0.270560149,0.421085328,8515.980342,27911.4265,216.3051384,,,,,,,,,,,,,,820,5071.9569700294,5803.614294,50,100,30,43.333
10_up_6_santi_v1,TgDyrk1A_EE,10,17,6,360,144.4034113,103.0762682,2,mid_cent,996.4028232,343.5786454,17,0.883656436,11,1.207430482,23.17215868,167.7420495,5.771428571,0.302224456,3.603888527,-2.18E-14,148.2720324,1.56E-13,218935.2,0.317296199,0.389510899,8814.325104,119581.3438,310.5854488,,,,,,,,,,,,,,810,5053.17636952846,5750.830779,41.6675,100,26.667,43.333
10_up_7_santi_v1,TgDyrk1A_EE,10,17,7,360,139.98194,115.1864211,2,mid_cent,1108.014315,291.2117262,21,0.918897367,13,1.382799301,22.61253703,130.7433413,6.930232558,0.406316965,6.325737769,2.6E-14,117.9224042,7.66E-13,162706.1458,0.305327849,0.403626385,9037.981034,66161.2023,262.7849496,,,,,,,,,,,,,,790,5412.72545107691,6188.52722,66.6675,100,36.667,46.667
11_3,TgDyrk1A_EE,11,18,3,120,132.377,79.785,2,post_cent,2140.879993,249.5616184,23,0.901627995,9,1.328959776,45.55063815,129.2220326,4.723404255,0.958795868,2.591375851,-1.83E-14,111.3288049,5.8E-14,1123970.731,0.350315264,0.361287612,17750.83017,508351.4584,201.6967325,,,,,,,,,,,,,,1690,8873.89345633604,10372.87994,75,100,36.667,50
11_6,TgDyrk1A_EE,11,18,6,120,138.074,90.749,2,post_cevt,3116.596104,251.8669098,43,0.88362473,11,1.309314596,37.54934704,131.3760064,6,0.834885286,2.846206313,-5.35E-14,112.4424435,9.98E-14,1148792.786,0.315710809,0.370560884,28026.9574,513420.7792,220.3807787,,,,,,,,,,,,,,2510,12303.1585399701,14485.31527,58.3325,100,30,50
11_low_2_santi_v1,TgDyrk1A_EE,11,18,2,120,126.3263813,107.2695716,1,post_med,2273.313464,405.386087,37,0.895989408,14,1.280580149,28.06559586,151.9786984,7.306666667,0.853698095,5.57674332,9.28E-15,125.0207626,1.74E-14,1319716.229,0.287570692,0.355848803,19471.31797,483139.3111,337.6435348,,,,,,,,,,,,,,1680,10452.1589681449,12043.87177,58.3325,100,30,46.667
11_low_7_santi_v1,TgDyrk1A_EE,11,18,7,120,127.4729727,130.3950552,3,post_lat,3253.986424,455.5004751,48,0.885184354,15,1.249310473,33.20394106,186.1436202,7.855670103,1.091782102,5.765067115,4.83E-14,149.0489786,-2.04E-13,1578314.73,0.291227035,0.361908208,26857.36316,748025.1163,292.1527601,,,,,,,,,,,,,,2250,14953.9202225289,17232.27384,41.6675,100,26.667,53.333
12_low_2_santi_v1,TgDyrk1A_EE,12,18,2,0,96.51883899,61.95236708,1,post_med,2643.104932,460.3314317,35,0.8672172,20,1.253810398,34.32603418,183.8640771,9.971830986,1.57000635,14.60868898,-4.21E-15,141.523924,8.34E-13,920074.2251,0.266652941,0.365377582,19944.96366,278367.4683,261.0873859,,,,,,,,,,,,,,1850,12618.6215941183,14469.25247,58.3325,100,30,53.333
12_low_3_santi_v1,TgDyrk1A_EE,12,18,3,0,122.0583002,78.89239256,1,post_med,1636.613382,249.0787269,31,0.915325549,17,1.154807935,23.71903163,125.9219453,8.761904762,0.628614695,6.754490914,4.15E-14,111.3763606,3.34E-13,175438.2634,0.303573272,0.354849732,11752.7321,98018.26349,208.3667681,,,,,,,,,,,,,,1200,6845.44768086294,7991.360321,91.6675,100,40,53.333
12_low_6_santi_v1,TgDyrk1A_EE,12,18,6,0,127.1163406,105.7337527,2,post_cent,2185.14485,359.1464174,32,0.928699172,20,1.289558424,29.9334911,181.2312814,10.55384615,0.557543625,6.695186997,-4.15E-15,164.7591785,3.99E-13,470500.5542,0.26403656,0.403046531,15387.92942,149855.548,293.4431029,,,,,,,,,,,,,,1790,9862.70104640018,11392.68059,50,100,30,56.667
12_upp_4_santi_v1,TgDyrk1A_EE,12,19,4,120,122.5855788,101.1857345,2,post_cent,1811.097894,431.8535852,22,0.90159203,14,1.363479988,36.22195587,166.0493427,6.133333333,0.43047022,3.133136074,-1.71E-14,145.4478084,4.76E-13,911414.2905,0.288820239,0.369000225,14689.17484,544921.4658,391.0222211,,,,,,,,,,,,,,1430,8857.14775647067,10125.22967,58.3325,100,30,50
12_upp_7_santi_v1,TgDyrk1A_EE,12,19,7,120,125.2488154,98.59152349,3,post_lat,1215.516476,327.9462313,17,0.910511178,13,1.038335201,33.76434099,170.1720751,7.2,0.639596081,9.442618687,3.27E-14,149.3270729,9.05E-13,210219.9101,0.260728511,0.357468554,10118.2889,68887.72947,264.8075088,,,,,,,,,,,,,,950,5951.19875854014,6802.270764,41.6675,100,26.667,50
12_upp_9_1_santi_v1,TgDyrk1A_EE,12,19,9_1,120,117.5026125,94.32152499,3,post_lat,1138.549223,349.8811551,14,0.903871837,11,1.252707698,33.48673892,173.3978486,5.724137931,0.649361964,6.352199582,1.7E-14,150.6644402,1.27E-13,393042.9056,0.269922736,0.399648825,10086.48907,175885.2372,270.4304961,,,,,,,,,,,,,,890,5727.46804898643,6524.649525,41.6675,100,23.333,43.333
12_upp_9_2_santi_v1,TgDyrk1A_EE,12,19,9_2,120,117.5026125,94.32152499,3,post_lat,2203.078726,392.7144255,28,0.905021613,17,0.968964161,38.65050045,171.3795239,8.280701754,0.563260843,5.25547681,-8.09E-14,149.2326285,3.65E-12,641133.4384,0.274871959,0.401906091,17242.29123,236381.2102,329.2584314,,,,,,,,,,,,,,1690,10429.5612214642,11972.09751,58.3325,100,30,53.333
